Date/Time,Misc_Loads:InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Res_lighting:InteriorLights:Electricity [J](Hourly),NonRes_lighting:InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Appliances:InteriorEquipment:Electricity [J](Hourly) ,DHW:NaturalGas [J](Hourly) 
 01/21  01:00:00,20124231.82,89005780.93,4717753.269,1471547.069,680348.5344,0,54597967.21,782867.1425,6631065.883,6631065.883
 01/21  02:00:00,18974275.71,86812288.16,2830651.962,882928.2412,408209.1206,0,57130525.87,822624.0362,5763073.215,5763073.215
 01/21  03:00:00,18399297.66,86032880.43,1887101.308,588618.8275,272139.4137,0,59086213.37,853753.1313,4945756.714,4945756.714
 01/21  04:00:00,17824319.61,86381544.14,1887101.308,588618.8275,272139.4137,0,60470972.09,875715.1338,4462677.759,4462677.759
 01/21  05:00:00,18399297.66,88505010.56,2098031.992,654411.6769,302557.7874,0,61081104.72,885942.8707,5083663.774,5083663.774
 01/21  06:00:00,18974275.71,94600095.86,5756753.656,1795628.869,830183.0742,0,60452714.86,876312.139,5914227.548,5914227.548
 01/21  07:00:00,21274187.92,108758878.6,13515268.45,4215640.906,1949040.689,0,57381528.19,828308.0691,9594901.809,9594901.809
 01/21  08:00:00,24149078.18,120324951.1,17103223.81,5334784.892,2466460.747,0,55702151.72,804696.9615,14764554.75,14764554.75
 01/21  09:00:00,24724056.23,125420892.7,18175923.3,5669378.01,2621155.043,0,54993656.01,849044.3211,18387679.76,18387679.76
 01/21  10:00:00,24724056.23,131297890.8,18683578.11,5827724.136,2694364.087,0,56037610.64,870915.6689,22459641.91,22459641.91
 01/21  11:00:00,24724056.23,131598945.9,18175584.49,5669272.33,2621106.183,0,55920655.27,870701.2343,23617570.14,23617570.14
 01/21  12:00:00,25299034.29,135201105.7,17471773.1,5449741.649,2519609.344,0,54779831.54,852593.5098,28828522.07,28828522.07
 01/21  13:00:00,25874012.34,133401626.6,16963779.47,5291289.843,2446351.439,0,57237790.6,873141.9589,24715260.93,24715260.93
 01/21  14:00:00,25874012.34,132853135.1,16814294.9,5244663.075,2424794.227,0,54126180.35,841683.2053,27527506.44,27527506.44
 01/21  15:00:00,25299034.29,131684169.8,17017381.44,5308009.202,2454081.394,0,53988905.71,840197.0137,26776560.5,26776560.5
 01/21  16:00:00,26448990.39,128994875.4,18344809.79,5722056.565,2645510.212,0,54318990.16,847724.2706,20666793.85,20666793.85
 01/21  17:00:00,27598946.49,137400599.5,22132002.26,6903345.977,3191662.311,0,51616383.1,803910.133,25154349.18,25154349.18
 01/21  18:00:00,29898858.7,154074383.8,29283350.55,9133972.506,4222960.271,0,49002662.98,716099.1558,31816479.18,31816479.18
 01/21  19:00:00,30473836.75,154904256.4,36634904.16,11427046.47,5283129.898,0,42718644.84,607867.3188,27758826.09,27758826.09
 01/21  20:00:00,28748902.6,148537007.8,38194225.01,11913425.02,5508000,0,42360567.82,599905.1238,21211982.24,21211982.24
 01/21  21:00:00,27023968.44,194134275.4,32465634.81,10126580.81,4681878.385,0,32571474.44,427458.5108,86837278.44,86837278.44
 01/21  22:00:00,25874012.34,122350799.4,24585954.75,7668775.278,3545547.493,0,42391725.7,591199.3984,17693584.29,17693584.29
 01/21  23:00:00,22999122.08,115199079.7,21154495.1,6598444.953,3050695.726,0,46175906.54,650442.4893,14569972.6,14569972.6
 01/21  24:00:00,20699209.87,96237299.22,9501203.977,2963586.28,1370171.315,0,51106352.97,727497.6439,9869277.173,9869277.173
 07/21  01:00:00,13238777.5,51884909.07,4717753.269,1471547.069,680348.5344,23368658.96,0,704610.2017,7703213.535,7703213.535
 07/21  02:00:00,12482275.93,44224216.22,2830651.962,882928.2412,408209.1206,20205046.34,0,610259.8632,6804844.764,6804844.764
 07/21  03:00:00,12104025.15,39185365.79,1887101.308,588618.8275,272139.4137,17777849.74,0,537237.8533,6018393.498,6018393.498
 07/21  04:00:00,11725774.36,36295583.31,1887101.308,588618.8275,272139.4137,15838281.51,0,478729.4487,5504938.44,5504938.44
 07/21  05:00:00,12104025.15,35985475.02,2098031.992,654411.6769,279326.8925,14380789.74,0,434582.5611,6034307.016,6034307.016
 07/21  06:00:00,12482275.93,44069132.49,5756753.656,1795628.869,714343.5755,16052506.01,0,484408.776,6783215.673,6783215.673
 07/21  07:00:00,13995279.07,66076606.6,13515268.45,4215640.906,1677081.523,21778229.79,0,656257.6283,10238849.23,10238849.23
 07/21  08:00:00,15886533,82469789.48,17103223.81,5334784.892,2122303.434,26118842.62,0,781881.5585,15122220.14,15122220.14
 07/21  09:00:00,16264783.79,89870288.26,18175923.3,5669378.01,2092326.362,28140366.71,0,833443.8444,18694066.13,18694066.13
 07/21  10:00:00,16264783.79,67583835.76,18683578.11,5827724.136,1992234.075,2030968.439,0,59346.48788,22725200.72,22725200.72
 07/21  11:00:00,16264783.79,105909146.6,18175584.49,5669272.33,1929198.204,12305958.22,0,345277.9895,51219071.1,51219071.1
 07/21  12:00:00,16643034.57,120900147.5,17471773.1,5449741.649,1841863.714,19484155.38,0,537734.8005,59471843.2,59471843.2
 07/21  13:00:00,17021285.36,86524356.88,16963779.47,5291289.843,1778827.843,20091292.39,0,550410.1375,24827471.83,24827471.83
 07/21  14:00:00,17021285.36,89575996.94,16814294.9,5244663.075,1760278.613,25561384.58,0,694802.67,22479287.74,22479287.74
 07/21  15:00:00,16643034.57,95823181.34,17017381.44,5308009.202,1759104.765,32654207.72,0,885738.2869,21555705.28,21555705.28
 07/21  16:00:00,17399536.15,103439560,18344809.79,5722056.565,1764342.46,38155652.72,0,1039153.897,21014007.79,21014007.79
 07/21  17:00:00,18156037.72,116395892.9,22132002.26,6903345.977,1788399.169,41660253.54,0,1143024.181,24612830.03,24612830.03
 07/21  18:00:00,19669040.86,179202738.7,29283350.55,9133972.506,1876529.87,86575129.7,0,2452249.987,30212465.26,30212465.26
 07/21  19:00:00,20047291.65,162573004.6,36634904.16,11427046.47,2119900.863,63615110.09,0,1839531.979,26889219.08,26889219.08
 07/21  20:00:00,18912539.29,146263994,38194225.01,11913425.02,2617690.088,51666781.26,0,1514124.854,21445208.42,21445208.42
 07/21  21:00:00,17777786.93,128829337.8,32465634.81,10126580.81,3344909.822,44562181.32,0,1318088.589,19234155.53,19234155.53
 07/21  22:00:00,17021285.36,111892962.2,24585954.75,7668775.278,4033703.787,38845214.51,0,1157487.336,18580540.53,18580540.53
 07/21  23:00:00,15130031.43,95588280.56,21154495.1,6598444.953,3056193.48,33079459.25,0,989755.5312,15579900.65,15579900.65
 07/21  24:00:00,13617028.29,66766254.55,9501203.977,2963586.28,1370171.315,27594729.49,0,829389.3621,10890145.81,10890145.81
 01/01  01:00:00,20124231.82,42475826.01,4717753.269,1471547.069,680348.5344,70147.88124,8637191.956,143539.6014,6631065.883,6631065.883
 01/01  02:00:00,18974275.71,42662705.87,2830651.962,882928.2412,408209.1206,3784.849484,13572904.76,226878.0045,5763073.215,5763073.215
 01/01  03:00:00,18399297.66,43617075.56,1887101.308,588618.8275,272139.4137,0,17234617.13,289544.4269,4945756.714,4945756.714
 01/01  04:00:00,17824319.61,46419262.4,1887101.308,588618.8275,272139.4137,0,21029325.82,355079.6687,4462677.759,4462677.759
 01/01  05:00:00,18399297.66,53202966.32,2098031.992,654411.6769,302557.7874,0,26217008.05,447995.3781,5083663.774,5083663.774
 01/01  06:00:00,18974275.71,62764709.9,5756753.656,1795628.869,830183.0742,0,28995658.28,497982.7634,5914227.548,5914227.548
 01/01  07:00:00,21274187.92,80616780.82,13515268.45,4215640.906,1949040.689,0,29558052.47,509688.5785,9594901.809,9594901.809
 01/01  08:00:00,24149078.18,94480765.61,17103223.81,5334784.892,2466460.747,0,30141691.27,520969.9194,14764554.75,14764554.75
 01/01  09:00:00,24724056.23,102287657.7,18175923.3,5669378.01,2621155.043,0,32158417.22,551044.7596,18387679.76,18387679.76
 01/01  10:00:00,24724056.23,101081093.2,18683578.11,5827724.136,2694364.087,0,26253584.62,438142.7367,22459641.91,22459641.91
 01/01  11:00:00,24724056.23,92542687.85,18175584.49,5669272.33,2621106.183,0,17453163.49,281932.6872,23617570.14,23617570.14
 01/01  12:00:00,25299034.29,89046978.8,17471773.1,5449741.649,2519609.344,0,13014723.07,205856.4942,25086240.83,25086240.83
 01/01  13:00:00,25874012.34,83715681.88,16963779.47,5291289.843,2446351.439,0,8296040.364,128947.2055,24715260.93,24715260.93
 01/01  14:00:00,25874012.34,77869182.39,16814294.9,5244663.075,2424794.227,0,5288071.414,80821.02629,22142525.26,22142525.26
 01/01  15:00:00,25299034.29,74818339.12,17017381.44,5308009.202,2454081.394,0,3247345.861,48992.56787,21443494.37,21443494.37
 01/01  16:00:00,26448990.39,76219413.19,18344809.79,5722056.565,2645510.212,133136.3067,2221117.944,36998.12318,20666793.85,20666793.85
 01/01  17:00:00,27598946.49,87198114.61,22132002.26,6903345.977,3191662.311,135117.6312,2047763.46,34927.0724,25154349.18,25154349.18
 01/01  18:00:00,29898858.7,106701809.9,29283350.55,9133972.506,4222960.271,290257.8421,2016804.894,39125.5924,31816479.18,31816479.18
 01/01  19:00:00,30473836.75,114471201.6,36634904.16,11427046.47,5283129.898,532245.2831,2310047.727,51165.19101,27758826.09,27758826.09
 01/01  20:00:00,28748902.6,180756386.8,38194225.01,11913425.02,5508000,1460425.046,1977877.405,75536.59912,92877992.68,92877992.68
 01/01  21:00:00,27023968.44,97163389.6,32465634.81,10126580.81,4681878.385,486940.0669,3782848.94,74577.17472,18520960.97,18520960.97
 01/01  22:00:00,25874012.34,84255472.83,24585954.75,7668775.278,3545547.493,428798.0359,4376338.286,82462.36821,17693584.29,17693584.29
 01/01  23:00:00,22999122.08,73939055.77,21154495.1,6598444.953,3050695.726,348180.8482,5125692.419,92451.95916,14569972.6,14569972.6
 01/01  24:00:00,20699209.87,50562089.53,9501203.977,2963586.28,1370171.315,164895.9291,5894045.256,99699.73063,9869277.173,9869277.173
 01/02  01:00:00,20124231.82,33359251.21,4717753.269,1471547.069,680348.5344,83400.08752,0,2347.505068,6279622.928,6279622.928
 01/02  02:00:00,18974275.71,28886137.71,2830651.962,882928.2412,408209.1206,37887.95833,195816.2173,4161.055706,5552207.442,5552207.442
 01/02  03:00:00,18399297.66,27560750.33,1887101.308,588618.8275,272139.4137,0,1583086.113,25327.47122,4805179.532,4805179.532
 01/02  04:00:00,17824319.61,27164593.19,1887101.308,588618.8275,272139.4137,0,2165475.008,34549.85448,4392389.168,4392389.168
 01/02  05:00:00,18399297.66,28981303.75,2098031.992,654411.6769,302557.7874,0,2543339.413,40578.62883,4943086.592,4943086.592
 01/02  06:00:00,18974275.71,52429003.36,5756753.656,1795628.869,830183.0742,0,19224596.55,144203.7242,5703361.775,5703361.775
 01/02  07:00:00,21274187.92,85431616.63,13515268.45,4215640.906,1949040.689,47174.77875,34992361.89,405348.8102,9032593.081,9032593.081
 01/02  08:00:00,24149078.18,86169038.86,17103223.81,5334784.892,2466460.747,17350.08912,23139634.22,318569.6167,13639937.3,13639937.3
 01/02  09:00:00,24724056.23,90169073.94,18175923.3,5669378.01,2621155.043,0,21941636.89,336170.6939,16700753.57,16700753.57
 01/02  10:00:00,24724056.23,94319531.38,18683578.11,5827724.136,2694364.087,0,21976572.89,343406.1048,20069829.82,20069829.82
 01/02  11:00:00,24724056.23,94853487.51,18175584.49,5669272.33,2621106.183,0,22433773.06,353379.6675,20876315.09,20876315.09
 01/02  12:00:00,25299034.29,94642865.57,17471773.1,5449741.649,2519609.344,0,21324868.87,338285.4357,22239552.89,22239552.89
 01/02  13:00:00,25874012.34,94328419.71,16963779.47,5291289.843,2446351.439,0,21305428.98,332974.5721,22114583.06,22114583.06
 01/02  14:00:00,25874012.34,90145244.42,16814294.9,5244663.075,2424794.227,0,19685688.8,313933.6093,19787857.47,19787857.47
 01/02  15:00:00,25299034.29,88337073.87,17017381.44,5308009.202,2454081.394,0,18524038.9,294259.1238,19440269.53,19440269.53
 01/02  16:00:00,26448990.39,88512222.5,18344809.79,5722056.565,2645510.212,0,16565421.02,262442.6894,18522991.83,18522991.83
 01/02  17:00:00,27598946.49,98084405.92,22132002.26,6903345.977,3191662.311,0,14802833.17,234202.7721,23221412.93,23221412.93
 01/02  18:00:00,29898858.7,115852045.9,29283350.55,9133972.506,4222960.271,69395.17172,13120765.97,204055.1753,29918687.23,29918687.23
 01/02  19:00:00,30473836.75,119684091.5,36634904.16,11427046.47,5283129.898,241683.2564,9504780.28,152243.6966,25966467.03,25966467.03
 01/02  20:00:00,28748902.6,108980974.2,38194225.01,11913425.02,5508000,231943.6612,4880514.451,84340.27853,19419623.17,19419623.17
 01/02  21:00:00,27023968.44,104587002.7,32465634.81,10126580.81,4681878.385,355131.6253,4800980.074,86725.6276,25046102.52,25046102.52
 01/02  22:00:00,25874012.34,83323948.12,24585954.75,7668775.278,3545547.493,243885.0087,5514516.464,95464.28952,15795792.33,15795792.33
 01/02  23:00:00,22999122.08,72755038.76,21154495.1,6598444.953,3050695.726,153227.0203,5680408.099,95022.18685,13023623.6,13023623.6
 01/02  24:00:00,20699209.87,43646842.73,9501203.977,2963586.28,1370171.315,84516.23491,0,2340.973458,9025814.081,9025814.081
 01/03  01:00:00,20124231.82,33378785.81,4717753.269,1471547.069,680348.5344,19682.91003,83741.31097,1857.906848,6279622.928,6279622.928
 01/03  02:00:00,18974275.71,31050788.54,2830651.962,882928.2412,408209.1206,0,2364210.7,38305.36173,5552207.442,5552207.442
 01/03  03:00:00,18399297.66,30046810.03,1887101.308,588618.8275,272139.4137,0,4028341.817,66131.46963,4805179.532,4805179.532
 01/03  04:00:00,17824319.61,30259547.96,1887101.308,588618.8275,272139.4137,0,5208459.442,86520.19044,4392389.168,4392389.168
 01/03  05:00:00,18399297.66,32911751.97,2098031.992,654411.6769,302557.7874,0,6406448.499,107917.7583,4943086.592,4943086.592
 01/03  06:00:00,18974275.71,64242681.31,5756753.656,1795628.869,830183.0742,0,30936908.91,245569.3033,5703361.775,5703361.775
