Date/Time,Electricity:Facility [J](Hourly),Res_lighting:InteriorLights:Electricity [J](Hourly),NonRes_lighting:InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Appliances:InteriorEquipment:Electricity [J](Hourly),Misc_Loads:InteriorEquipment:Electricity [J](Hourly) ,DHW:NaturalGas [J](Hourly) 
 01/21  01:00:00,38170731.13,1868155.934,1162512.014,680348.5344,0,8428058.674,131775.8746,5600936.956,20124231.82,6631065.883
 01/21  02:00:00,35677499.79,1120924.116,697531.0351,408209.1206,0,9203606.094,144678.8785,4953563.512,18974275.71,5763073.215
 01/21  03:00:00,34260447.17,747231.8182,464980.9787,272139.4137,0,9794681.802,154466.4717,4252937.7,18399297.66,4945756.714
 01/21  04:00:00,33866157.67,747231.8182,464980.9787,272139.4137,0,10332785.87,163439.2217,3886549.435,17824319.61,4462677.759
 01/21  05:00:00,35362915.42,830800.7825,517042.646,302557.7874,0,10554940.83,167195.1974,4416369.074,18399297.66,5083663.774
 01/21  06:00:00,39384799.92,2279736.903,1418531.518,830183.0742,0,10399753.46,164603.6227,5143004.314,18974275.71,5914227.548
 01/21  07:00:00,52770603.03,5352080.363,3330397.965,1949040.689,0,9374526.834,378143.2045,8278511.595,21274187.92,9594901.809
 01/21  08:00:00,60986825.67,6772905.533,4214493.236,0,0,9017964.942,449449.6169,12591211.96,24149078.18,14764554.75
 01/21  09:00:00,66773077.05,7197625.315,4478852.138,0,0,10634180,482661.7119,15370146.54,24724056.23,18387679.76
 01/21  10:00:00,69981609.12,7398679.716,4603943.1,0,0,11917516.28,389795.8456,18402823.36,24724056.23,22459641.91
 01/21  11:00:00,67939600.39,7197472.538,4478733.003,0,0,12109973.02,200783.1919,19053871.08,24724056.23,23617570.14
 01/21  12:00:00,71639927.62,6918807.473,4305273.535,0,0,11687351.26,193662.4909,23061087,25299034.29,28828522.07
 01/21  13:00:00,69835164.59,6717600.295,4180063.438,0,0,12351682.4,203200.1727,20333894.62,25874012.34,24715260.93
 01/21  14:00:00,72930033.23,6658475.635,4143250.955,0,0,11467216.02,420685.795,22002088.86,25874012.34,27527506.44
 01/21  15:00:00,73150144.47,6738836.284,4193287.34,0,0,11526854.85,498834.3945,21785321.86,25299034.29,26776560.5
 01/21  16:00:00,70711774.15,7264541.597,4520429.991,0,0,11870236.87,504987.8627,16973725.17,26448990.39,20666793.85
 01/21  17:00:00,77633850.24,8764199.648,5453608.573,0,0,10405033.04,480209.6521,21734779.63,27598946.49,25154349.18
 01/21  18:00:00,92461058.82,11596225.04,7215842.403,4222960.271,0,7707817.363,429847.5984,28397825.27,29898858.7,31816479.18
 01/21  19:00:00,105142079.3,14507388.88,9027397.812,5283129.898,0,4829436.788,303468.6963,24470540.67,30473836.75,27758826.09
 01/21  20:00:00,84844116.07,15124913.11,9411605.769,5508000,0,4936344.055,381994.2265,17949221.13,28748902.6,21211982.24
 01/21  21:00:00,181335932.5,12856328.92,7999984.038,4681878.385,0,3029665.531,310391.5688,58258274.3,27023968.44,86837278.44
 01/21  22:00:00,78370922.01,9736013.51,6058334.027,3545547.493,0,4425199.987,218530.8162,14300454.69,25874012.34,17693584.29
 01/21  23:00:00,72471857.78,8377215.761,5212719.119,3050695.726,0,5659802.525,392934.0764,11722009.98,22999122.08,14569972.6
 01/21  24:00:00,46791980.19,3762436.718,2341226.286,1370171.315,0,7385040.782,421856.666,8098886.356,20699209.87,9869277.173
 07/21  01:00:00,38580783.7,1868155.934,1162512.014,680348.5344,14433877.55,0,507280.324,6515120.52,13238777.5,7703213.535
 07/21  02:00:00,34149262.48,1120924.116,697531.0351,408209.1206,12965918.98,0,458371.9072,5841320.076,12482275.93,6804844.764
 07/21  03:00:00,31122098.45,747231.8182,464980.9787,272139.4137,11765822.16,0,417679.0076,5175508.601,12104025.15,6018393.498
 07/21  04:00:00,29317846.37,747231.8182,464980.9787,272139.4137,10766703.33,0,383611.81,4782693.335,11725774.36,5504938.44
 07/21  05:00:00,29498675.66,830800.7825,517042.646,279326.8925,10010772.06,0,357152.171,5224844.636,12104025.15,6034307.016
 07/21  06:00:00,33554229.6,2279736.903,1418531.518,0,10938886.74,0,390262.4199,5869824.76,12482275.93,6783215.673
 07/21  07:00:00,46200044,5352080.363,3330397.965,0,14078078.76,0,497103.3772,8772393.137,13995279.07,10238849.23
 07/21  08:00:00,56226673.08,6772905.533,4214493.236,0,15835970.8,0,551145.9123,12790913.26,15886533,15122220.14
 07/21  09:00:00,59990970.82,7197625.315,4478852.138,0,15821639.47,0,538738.9323,15514619.72,16264783.79,18694066.13
 07/21  10:00:00,47624059.45,7398679.716,4603943.1,0,655033.7647,0,20438.77533,18506468.98,16264783.79,22725200.72
 07/21  11:00:00,67360835.63,7197472.538,4478733.003,0,2740667.894,0,87279.31569,36417187.41,16264783.79,51219071.1
 07/21  12:00:00,75864889.68,6918807.473,4305273.535,0,5698758.954,0,180778.8232,41943524.05,16643034.57,59471843.2
 07/21  13:00:00,54837812.28,6717600.295,4180063.438,0,6266105.279,0,197803.351,20280243.23,17021285.36,24827471.83
 07/21  14:00:00,55591053.53,6658475.635,4143250.955,0,9016396.746,0,281124.5013,18295809.01,17021285.36,22479287.74
 07/21  15:00:00,59066121.68,6738836.284,4193287.34,0,13019544.11,0,404838.746,17891869.21,16643034.57,21555705.28
 07/21  16:00:00,63383185.92,7264541.597,4520429.991,0,16355040.12,0,509900.1877,17159025.91,17399536.15,21014007.79
 07/21  17:00:00,73039973.1,8764199.648,5453608.573,0,18879991.81,0,591924.0153,21019499.98,18156037.72,24612830.03
 07/21  18:00:00,116868979.3,11596225.04,7215842.403,0,49997044.83,0,1611860.356,26604254.44,19669040.86,30212465.26
 07/21  19:00:00,103431030,14507388.88,9027397.812,529975.2159,34606883.99,0,1133902.338,23403478.55,20047291.65,26889219.08
 07/21  20:00:00,92359858.34,15124913.11,9411605.769,2617690.088,27218389.39,0,907118.9615,17992890.41,18912539.29,21445208.42
 07/21  21:00:00,82344371.25,12856328.92,7999984.038,3344909.822,23645866.91,0,798198.8012,15746584.5,17777786.93,19234155.53
 07/21  22:00:00,73990317.66,9736013.51,6058334.027,4033703.787,21235258.25,0,725258.5455,15005752.23,17021285.36,18580540.53
 07/21  23:00:00,63680612.99,8377215.761,5212719.119,3056193.48,18530964.9,0,640599.2761,12558177.54,15130031.43,15579900.65
 07/21  24:00:00,47044928.63,3762436.718,2341226.286,1370171.315,16254722.29,0,566790.5742,8957841.805,13617028.29,10890145.81
 01/01  01:00:00,30557302.23,1868155.934,1162512.014,680348.5344,912704.6286,0,33701.02515,5600936.956,20124231.82,6631065.883
