Date/Time,Electricity:Facility [J](Hourly),Res_lighting:InteriorLights:Electricity [J](Hourly),NonRes_lighting:InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Appliances:InteriorEquipment:Electricity [J](Hourly),Misc_Loads:InteriorEquipment:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),WaterSystems:Electricity [J](Hourly) 
 01/21  01:00:00,38611215.47608846,1868155.9338272736,1162512.0138114598,680348.5343547517,0.0,8861168.570320983,139150.32598141104,5600936.955919766,20124231.818795895,174711.32307692307,0.0 
 01/21  02:00:00,36100458.9686622,1120924.1156763742,697531.0351369232,408209.12061285096,0.0,9619484.327509396,151759.11889091275,4953563.511665713,18974275.71486468,174712.02430546945,0.0 
 01/21  03:00:00,34743976.88892444,747231.8181508987,464980.9786745365,272139.4137419008,0.0,10270106.405685686,162570.84359801294,4252937.70049217,18399297.662899089,174712.06568224426,0.0 
 01/21  04:00:00,34293244.654788758,747231.8181508987,464980.9786745365,272139.4137419008,0.0,10752720.111879975,170591.8432725576,3886549.4351884026,17824319.610933495,174711.44294704233,0.0 
 01/21  05:00:00,35746215.24813335,830800.7824789592,517042.6460280523,302557.7874492454,0.0,10931827.504198833,173608.46834726644,4416369.073655014,18399297.662899089,174711.32307692307,0.0 
 01/21  06:00:00,39717739.867890659,2279736.90256547,1418531.5175705115,830183.0741729525,0.0,10727127.874601677,170169.1472734859,5143004.313765015,18974275.71486468,174711.32307692307,0.0 
 01/21  07:00:00,50109168.31858106,5352080.362597074,3330397.9653719367,1949040.688666207,0.0,9598974.5810476,151263.87981189154,8278511.595282409,21274187.922727087,174711.32307692307,0.0 
 01/21  08:00:00,57253826.255450289,6772905.533074146,4214493.236379812,0.0,0.0,9206368.136326557,145057.88451734096,12591211.95952046,24149078.182555066,174711.32307692307,0.0 
 01/21  09:00:00,63999449.27074918,7197625.315216756,4478852.137655444,0.0,0.0,10909997.375849456,256644.98538227377,15370146.538636,24724056.23452066,174712.0911535921,887414.5923350484 
 01/21  10:00:00,71479879.35538794,7398679.715684263,4603943.100404167,0.0,0.0,12154567.382417264,508937.9635406726,18402823.358718754,24724056.23452066,174711.59993172906,3512160.00017042 
 01/21  11:00:00,72167005.45895411,7197472.538316704,4478733.003405208,0.0,0.0,12407255.785102923,513392.415354128,19053871.075377168,24724056.23452066,174711.41355340958,3617512.9933239596 
 01/21  12:00:00,73677517.74484273,6918807.47262314,4305273.535060312,0.0,0.0,12408177.176543372,513527.217780776,20366648.96612204,25299034.286486258,174711.32307692307,3691337.7671500297 
 01/21  13:00:00,72850654.23423814,6717600.295255575,4180063.4380613539,0.0,0.0,12797869.200401964,403497.6251399587,20333894.61953246,25874012.33845185,174711.32307692307,2369005.394318168 
 01/21  14:00:00,67703229.09002602,6658475.6349357259,4143250.954738158,0.0,0.0,12519913.100109693,207956.9136966259,18124908.82501721,25874012.33845185,174711.32307692307,0.0 
 01/21  15:00:00,67122787.91575545,6738836.284362706,4193287.3398376468,0.0,0.0,12562481.205009422,208916.57863771404,17945520.59845497,25299034.286486258,174711.62296697455,0.0 
 01/21  16:00:00,68002483.26675473,7264541.597439226,4520429.990988115,0.0,0.0,12413441.75258794,206643.022287793,16973725.17123301,26448990.39041745,174711.34180149053,0.0 
 01/21  17:00:00,74635579.70989925,8764199.64834277,5453608.573093584,0.0,0.0,10731176.397368607,178157.6463096781,21734779.627359108,27598946.494348647,174711.32307692307,0.0 
 01/21  18:00:00,89490062.20738186,11596225.044593677,7215842.402597489,4222960.270879291,0.0,7858816.949068956,124822.24484061655,28397825.270113719,29898858.702211027,174711.32307692307,0.0 
 01/21  19:00:00,92176454.42026,14507388.875071165,9027397.811699463,5283129.898378474,0.0,4924577.448692714,381982.29640657539,24470540.669827559,30473836.754176644,174712.76087428668,2932887.905133007 
 01/21  20:00:00,85313256.61074117,15124913.10507851,9411605.768713396,5508000.0,0.0,5014075.856087094,383313.57144513636,17949221.125594729,28748902.59827986,174711.32307692307,2998513.2624655936 
 01/21  21:00:00,77034771.62612726,12856328.916216782,7999984.037656624,4681878.384946268,0.0,5601026.753807221,392906.34780346017,15218997.746468185,27023968.442383049,174711.32307692307,3084969.6737688544 
 01/21  22:00:00,68971389.06498307,9736013.509569077,6058334.027295979,3545547.493469519,0.0,5719729.926765383,394476.26522151587,14300454.686165682,25874012.33845185,174711.32307692307,3168109.494967057 
 01/21  23:00:00,61807588.4704074,8377215.760512831,5212719.119114616,3050695.725722036,0.0,6609324.405123973,409156.97210430706,11722009.98109796,22999122.078623874,174711.32307692307,3252633.105030868 
 01/21  24:00:00,48192624.27782975,3762436.7175633169,2341226.285655135,1370171.3147942557,0.0,7975318.225390846,431925.33515058,8098886.3560849749,20699209.870761459,174711.32307692307,3338738.8493523218 
 07/21  01:00:00,38562315.65010815,1868155.9338272736,1162512.0138114598,680348.5343547517,14416173.327069352,0.0,506516.4950555513,6515120.520323666,13238777.502589269,174711.32307692307,0.0 
 07/21  02:00:00,34134210.97140848,1120924.1156763742,697531.0351369232,408209.12061285096,12951505.493341942,0.0,457733.87691778977,5841320.075632882,12482275.931012735,174711.32307692307,0.0 
